T19,Consumer Price Index,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
248,Åland Islands,2022,Consumer price index: Food,131.4,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
248,Åland Islands,2023,Consumer price index: Food,145.5,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
8,Albania,2000,Consumer price index: General,74.1,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
8,Albania,2005,Consumer price index: General,86.7,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
8,Albania,2010,Consumer price index: General,100.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
8,Albania,2015,Consumer price index: General,111.4,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
8,Albania,2021,Consumer price index: General,123.5,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
8,Albania,2022,Consumer price index: General,131.8,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
8,Albania,2023,Consumer price index: General,138.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
8,Albania,2005,Consumer price index: Food,82.8,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
8,Albania,2010,Consumer price index: Food,100.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
8,Albania,2015,Consumer price index: Food,118.8,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
8,Albania,2021,Consumer price index: Food,144.9,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
8,Albania,2022,Consumer price index: Food,161.9,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
8,Albania,2023,Consumer price index: Food,177.2,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
12,Algeria,2000,Consumer price index: General,70.4,Algiers,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
12,Algeria,2005,Consumer price index: General,81.8,Algiers,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
12,Algeria,2010,Consumer price index: General,100.0,Algiers,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
12,Algeria,2015,Consumer price index: General,126.7,Algiers,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
12,Algeria,2021,Consumer price index: General,166.2,Algiers;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
12,Algeria,2022,Consumer price index: General,181.6,Algiers;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
12,Algeria,2023,Consumer price index: General,198.6,Algiers;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
12,Algeria,2010,Consumer price index: Food,100.0,Algiers;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
12,Algeria,2015,Consumer price index: Food,131.3,Algiers;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
12,Algeria,2021,Consumer price index: Food,161.7,Algiers;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
12,Algeria,2022,Consumer price index: Food,182.4,Algiers;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
12,Algeria,2023,Consumer price index: Food,207.7,Algiers;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
20,Andorra,2005,Consumer price index: General,82.2,Base 2021 = 100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
20,Andorra,2010,Consumer price index: General,91.7,Base 2021 = 100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
20,Andorra,2015,Consumer price index: General,94.7,Base 2021 = 100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
20,Andorra,2021,Consumer price index: General,100.0,Base 2021 = 100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
20,Andorra,2022,Consumer price index: General,106.2,Base 2021 = 100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
20,Andorra,2023,Consumer price index: General,112.2,Base 2021 = 100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
20,Andorra,2005,Consumer price index: Food,76.4,Base 2021 = 100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
20,Andorra,2010,Consumer price index: Food,83.0,Base 2021 = 100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
20,Andorra,2015,Consumer price index: Food,89.9,Base 2021 = 100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
20,Andorra,2021,Consumer price index: Food,100.0,Base 2021 = 100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
20,Andorra,2022,Consumer price index: Food,109.0,Base 2021 = 100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
20,Andorra,2023,Consumer price index: Food,122.3,Base 2021 = 100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
24,Angola,2000,Consumer price index: General,2.9,Estimate.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
24,Angola,2005,Consumer price index: General,53.7,Estimate.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
24,Angola,2010,Consumer price index: General,100.0,Estimate.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
24,Angola,2015,Consumer price index: General,159.4,Estimate.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
24,Angola,2005,Consumer price index: Food,45.5,Estimate.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
24,Angola,2010,Consumer price index: Food,100.0,Estimate.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
24,Angola,2015,Consumer price index: Food,167.3,Estimate.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
660,Anguilla,2000,Consumer price index: General,68.4,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
660,Anguilla,2005,Consumer price index: General,81.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
660,Anguilla,2010,Consumer price index: General,100.0,Break in the time series.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
660,Anguilla,2015,Consumer price index: General,105.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
660,Anguilla,2021,Consumer price index: General,108.5,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
660,Anguilla,2022,Consumer price index: General,114.6,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
660,Anguilla,2023,Consumer price index: General,118.5,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
660,Anguilla,2010,Consumer price index: Food,100.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
660,Anguilla,2015,Consumer price index: Food,111.4,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
660,Anguilla,2021,Consumer price index: Food,120.4,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
660,Anguilla,2022,Consumer price index: Food,133.5,Calculated by the UN Statistics Division from national indices.;Monthly average for quarter or index for quarter.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
660,Anguilla,2023,Consumer price index: Food,144.4,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
28,Antigua and Barbuda,2000,Consumer price index: General,81.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
28,Antigua and Barbuda,2005,Consumer price index: General,89.5,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
28,Antigua and Barbuda,2010,Consumer price index: General,100.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
28,Antigua and Barbuda,2015,Consumer price index: General,110.3,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
28,Antigua and Barbuda,2021,Consumer price index: General,118.6,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
28,Antigua and Barbuda,2022,Consumer price index: General,127.5,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
28,Antigua and Barbuda,2023,Consumer price index: General,133.9,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
32,Argentina,2021,Consumer price index: General,490.6,Index base: December 2016=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
32,Argentina,2022,Consumer price index: General,845.9,Index base: December 2016=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
32,Argentina,2023,Consumer price index: General,"1,975.0",Index base: December 2016=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
32,Argentina,2021,Consumer price index: Food,517.0,Index base: December 2016=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
32,Argentina,2022,Consumer price index: Food,902.8,Index base: December 2016=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
32,Argentina,2023,Consumer price index: Food,"2,204.5",Index base: December 2016=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
51,Armenia,2000,Consumer price index: General,65.0,Break in the time series.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
51,Armenia,2005,Consumer price index: General,76.4,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
51,Armenia,2010,Consumer price index: General,100.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
51,Armenia,2015,Consumer price index: General,124.6,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
51,Armenia,2021,Consumer price index: General,140.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
51,Armenia,2022,Consumer price index: General,152.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
51,Armenia,2023,Consumer price index: General,155.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
51,Armenia,2000,Consumer price index: Food,58.9,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
51,Armenia,2005,Consumer price index: Food,75.3,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
51,Armenia,2010,Consumer price index: Food,100.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
51,Armenia,2015,Consumer price index: Food,126.7,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
51,Armenia,2021,Consumer price index: Food,148.3,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
51,Armenia,2022,Consumer price index: Food,167.5,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
51,Armenia,2023,Consumer price index: Food,166.6,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
533,Aruba,2000,Consumer price index: General,72.0,Break in the time series.;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
533,Aruba,2005,Consumer price index: General,84.1,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
533,Aruba,2010,Consumer price index: General,100.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
533,Aruba,2015,Consumer price index: General,103.4,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
533,Aruba,2021,Consumer price index: General,108.6,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
533,Aruba,2022,Consumer price index: General,114.6,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
533,Aruba,2023,Consumer price index: General,118.4,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
533,Aruba,2005,Consumer price index: Food,73.6,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
533,Aruba,2010,Consumer price index: Food,100.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
533,Aruba,2015,Consumer price index: Food,85.4,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
533,Aruba,2021,Consumer price index: Food,134.5,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
533,Aruba,2022,Consumer price index: Food,148.2,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
533,Aruba,2023,Consumer price index: Food,157.9,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
36,Australia,2000,Consumer price index: General,74.4,Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
36,Australia,2005,Consumer price index: General,86.3,Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
36,Australia,2010,Consumer price index: General,100.0,Break in the time series.;Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
36,Australia,2015,Consumer price index: General,112.0,Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
36,Australia,2021,Consumer price index: General,124.3,Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
36,Australia,2022,Consumer price index: General,132.5,Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
36,Australia,2023,Consumer price index: General,140.0,Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
36,Australia,2010,Consumer price index: Food,100.0,Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
36,Australia,2015,Consumer price index: Food,107.6,Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
36,Australia,2021,Consumer price index: Food,117.9,Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
36,Australia,2022,Consumer price index: Food,126.3,Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
36,Australia,2023,Consumer price index: Food,134.1,Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
40,Austria,2000,Consumer price index: General,82.6,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
40,Austria,2005,Consumer price index: General,91.4,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
40,Austria,2010,Consumer price index: General,100.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
40,Austria,2015,Consumer price index: General,110.7,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
40,Austria,2021,Consumer price index: General,123.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
40,Austria,2022,Consumer price index: General,133.6,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
40,Austria,2023,Consumer price index: General,144.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
40,Austria,2000,Consumer price index: Food,79.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
40,Austria,2005,Consumer price index: Food,88.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
40,Austria,2010,Consumer price index: Food,100.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
40,Austria,2015,Consumer price index: Food,114.4,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
40,Austria,2021,Consumer price index: Food,124.8,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
40,Austria,2022,Consumer price index: Food,138.2,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
40,Austria,2023,Consumer price index: Food,153.4,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
31,Azerbaijan,2000,Consumer price index: General,49.0,Break in the time series.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
31,Azerbaijan,2005,Consumer price index: General,61.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
31,Azerbaijan,2010,Consumer price index: General,100.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
31,Azerbaijan,2015,Consumer price index: General,117.7,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
31,Azerbaijan,2021,Consumer price index: General,172.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
31,Azerbaijan,2022,Consumer price index: General,195.8,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
31,Azerbaijan,2023,Consumer price index: General,213.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
31,Azerbaijan,2010,Consumer price index: Food,100.0,Including tobacco.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
31,Azerbaijan,2015,Consumer price index: Food,119.6,Including tobacco.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
31,Azerbaijan,2021,Consumer price index: Food,188.5,Including tobacco.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
31,Azerbaijan,2022,Consumer price index: Food,226.4,Including tobacco.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
31,Azerbaijan,2023,Consumer price index: Food,248.6,Including tobacco.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
44,Bahamas,2000,Consumer price index: General,80.0,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
44,Bahamas,2005,Consumer price index: General,88.2,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
44,Bahamas,2010,Consumer price index: General,100.0,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
44,Bahamas,2015,Consumer price index: General,109.6,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
44,Bahamas,2021,Consumer price index: General,119.6,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
44,Bahamas,2022,Consumer price index: General,126.3,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
44,Bahamas,2015,Consumer price index: Food,106.5,New Providence;Index base: November 2014=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
48,Bahrain,2000,Consumer price index: General,83.4,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
48,Bahrain,2005,Consumer price index: General,87.5,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
48,Bahrain,2010,Consumer price index: General,100.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
