T08,"Teaching staff at the primary, lower secondary and upper secondary levels",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
31,Azerbaijan,2010,Teachers with minimum required qualifications at primary level,100.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
31,Azerbaijan,2015,Teachers at primary level,"40,830",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
31,Azerbaijan,2015,Teachers with minimum required qualifications at primary level,99.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
31,Azerbaijan,2022,Teachers at primary level,"39,926",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
31,Azerbaijan,2022,Teachers with minimum required qualifications at primary level,99.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
31,Azerbaijan,2022,Teachers at lower secondary level,"89,037",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
31,Azerbaijan,2022,Teachers with minimum required qualifications at lower secondary level,99.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
31,Azerbaijan,2022,Teachers at upper secondary level,"27,957",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
31,Azerbaijan,2022,Teachers with minimum required qualifications at upper secondary level,96.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
44,Bahamas,2004,Teachers at primary level,"2,150",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
44,Bahamas,2004,Teachers with minimum required qualifications at primary level,91.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
44,Bahamas,2004,Teachers at lower secondary level,977,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
44,Bahamas,2004,Teachers at upper secondary level,"1,200",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
44,Bahamas,2005,Teachers at lower secondary level,"1,030",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
44,Bahamas,2005,Teachers with minimum required qualifications at lower secondary level,89.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
44,Bahamas,2005,Teachers at upper secondary level,"1,335",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
44,Bahamas,2005,Teachers with minimum required qualifications at upper secondary level,91.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
44,Bahamas,2010,Teachers at primary level,"2,402",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
44,Bahamas,2010,Teachers with minimum required qualifications at primary level,91.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
44,Bahamas,2010,Teachers at lower secondary level,"1,473",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
44,Bahamas,2010,Teachers with minimum required qualifications at lower secondary level,89.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
44,Bahamas,2010,Teachers at upper secondary level,"1,364",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
44,Bahamas,2010,Teachers with minimum required qualifications at upper secondary level,89.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
44,Bahamas,2015,Teachers at primary level,"1,555",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
44,Bahamas,2015,Teachers with minimum required qualifications at primary level,89.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
44,Bahamas,2015,Teachers at lower secondary level,940,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
44,Bahamas,2015,Teachers with minimum required qualifications at lower secondary level,82.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
44,Bahamas,2015,Teachers at upper secondary level,"1,245",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
44,Bahamas,2015,Teachers with minimum required qualifications at upper secondary level,86.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
44,Bahamas,2021,Teachers at primary level,"1,722",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
44,Bahamas,2021,Teachers with minimum required qualifications at primary level,90.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
44,Bahamas,2021,Teachers at lower secondary level,"1,046",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
44,Bahamas,2021,Teachers with minimum required qualifications at lower secondary level,88.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
44,Bahamas,2021,Teachers at upper secondary level,"1,200",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
44,Bahamas,2021,Teachers with minimum required qualifications at upper secondary level,90.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
48,Bahrain,2015,Teachers at primary level,"9,219",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
48,Bahrain,2015,Teachers with minimum required qualifications at primary level,82.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
48,Bahrain,2015,Teachers at lower secondary level,"4,413",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
48,Bahrain,2015,Teachers with minimum required qualifications at lower secondary level,82.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
48,Bahrain,2015,Teachers at upper secondary level,"4,961",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
48,Bahrain,2015,Teachers with minimum required qualifications at upper secondary level,83.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
48,Bahrain,2022,Teachers at primary level,"8,683",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
48,Bahrain,2022,Teachers with minimum required qualifications at primary level,100.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
48,Bahrain,2022,Teachers at lower secondary level,"4,145",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
48,Bahrain,2022,Teachers with minimum required qualifications at lower secondary level,100.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
48,Bahrain,2022,Teachers at upper secondary level,"4,593",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
48,Bahrain,2022,Teachers with minimum required qualifications at upper secondary level,100.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2004,Teachers at lower secondary level,"186,247",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2004,Teachers with minimum required qualifications at lower secondary level,37.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2004,Teachers at upper secondary level,"192,029",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2004,Teachers with minimum required qualifications at upper secondary level,25.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2005,Teachers at primary level,"344,806",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2005,Teachers with minimum required qualifications at primary level,53.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2005,Teachers at lower secondary level,"220,464",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2005,Teachers at upper secondary level,"202,114",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2009,Teachers at primary level,"361,450",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2009,Teachers with minimum required qualifications at primary level,58.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2009,Teachers at lower secondary level,"207,897",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2009,Teachers with minimum required qualifications at lower secondary level,57.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2009,Teachers at upper secondary level,"179,376",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2009,Teachers with minimum required qualifications at upper secondary level,41.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2010,Teachers at primary level,"395,281",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2010,Teachers at lower secondary level,"205,384",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2010,Teachers with minimum required qualifications at lower secondary level,58.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2010,Teachers at upper secondary level,"194,668",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2010,Teachers with minimum required qualifications at upper secondary level,40.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2013,Teachers at lower secondary level,"204,188",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2013,Teachers with minimum required qualifications at lower secondary level,59.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2013,Teachers at upper secondary level,"174,021",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2013,Teachers with minimum required qualifications at upper secondary level,56.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2015,Teachers at primary level,"527,798",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2015,Teachers with minimum required qualifications at primary level,47.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2022,Teachers at primary level,"359,095",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2022,Teachers with minimum required qualifications at primary level,74.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2022,Teachers at lower secondary level,"220,340",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2022,Teachers with minimum required qualifications at lower secondary level,67.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2022,Teachers at upper secondary level,"334,575",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2022,Teachers with minimum required qualifications at upper secondary level,62.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
52,Barbados,2005,Teachers at primary level,"1,469",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
52,Barbados,2005,Teachers with minimum required qualifications at primary level,73.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
52,Barbados,2010,Teachers at primary level,"1,742",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
52,Barbados,2010,Teachers with minimum required qualifications at primary level,58.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
52,Barbados,2015,Teachers at primary level,"1,560",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
52,Barbados,2015,Teachers with minimum required qualifications at primary level,65.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
52,Barbados,2015,Teachers at lower secondary level,586,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
52,Barbados,2015,Teachers with minimum required qualifications at lower secondary level,52.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
52,Barbados,2015,Teachers at upper secondary level,586,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
52,Barbados,2015,Teachers with minimum required qualifications at upper secondary level,52.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
52,Barbados,2022,Teachers at primary level,"1,597",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
52,Barbados,2022,Teachers with minimum required qualifications at primary level,75.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
52,Barbados,2022,Teachers at lower secondary level,622,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
52,Barbados,2022,Teachers with minimum required qualifications at lower secondary level,50.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
52,Barbados,2022,Teachers at upper secondary level,619,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
52,Barbados,2022,Teachers with minimum required qualifications at upper secondary level,50.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
112,Belarus,2005,Teachers at primary level,"23,671",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
112,Belarus,2005,Teachers with minimum required qualifications at primary level,99.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
112,Belarus,2010,Teachers at primary level,"23,907",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
112,Belarus,2010,Teachers with minimum required qualifications at primary level,99.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
112,Belarus,2015,Teachers at primary level,"22,029",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
112,Belarus,2015,Teachers with minimum required qualifications at primary level,99.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
112,Belarus,2015,Teachers at lower secondary level,"53,875",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
112,Belarus,2015,Teachers with minimum required qualifications at lower secondary level,98.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
112,Belarus,2015,Teachers at upper secondary level,"23,153",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
112,Belarus,2015,Teachers with minimum required qualifications at upper secondary level,91.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
112,Belarus,2022,Teachers at primary level,"22,534",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
112,Belarus,2022,Teachers with minimum required qualifications at primary level,99.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
112,Belarus,2022,Teachers at lower secondary level,"50,889",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
112,Belarus,2022,Teachers with minimum required qualifications at lower secondary level,98.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
112,Belarus,2022,Teachers at upper secondary level,"22,543",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
112,Belarus,2022,Teachers with minimum required qualifications at upper secondary level,94.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
56,Belgium,2005,Teachers at primary level,"64,278",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
56,Belgium,2005,Teachers at lower secondary level,"42,469",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
56,Belgium,2010,Teachers at primary level,"66,317",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
56,Belgium,2010,Teachers at lower secondary level,"42,533",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
56,Belgium,2015,Teachers at primary level,"69,681",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
56,Belgium,2015,Teachers at lower secondary level,"47,829",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
56,Belgium,2015,Teachers at upper secondary level,"81,393",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
56,Belgium,2022,Teachers at primary level,"79,534",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
56,Belgium,2022,Teachers at lower secondary level,"49,445",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
56,Belgium,2022,Teachers at upper secondary level,"87,527",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
84,Belize,2004,Teachers at primary level,"2,109",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
84,Belize,2004,Teachers with minimum required qualifications at primary level,51.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
84,Belize,2004,Teachers at lower secondary level,"1,138",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
84,Belize,2004,Teachers with minimum required qualifications at lower secondary level,43.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
84,Belize,2004,Teachers at upper secondary level,390,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
84,Belize,2004,Teachers with minimum required qualifications at upper secondary level,43.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
84,Belize,2005,Teachers at primary level,"2,127",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
84,Belize,2005,Teachers at lower secondary level,"1,148",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
84,Belize,2005,Teachers at upper secondary level,410,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
84,Belize,2010,Teachers at primary level,"2,367",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
84,Belize,2010,Teachers with minimum required qualifications at primary level,45.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
84,Belize,2010,Teachers at lower secondary level,"1,436",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
84,Belize,2010,Teachers with minimum required qualifications at lower secondary level,39.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
84,Belize,2010,Teachers at upper secondary level,511,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
84,Belize,2010,Teachers with minimum required qualifications at upper secondary level,34.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
84,Belize,2015,Teachers at primary level,"2,548",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
84,Belize,2015,Teachers with minimum required qualifications at primary level,67.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
84,Belize,2015,Teachers at lower secondary level,"1,706",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
84,Belize,2015,Teachers with minimum required qualifications at lower secondary level,49.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
84,Belize,2015,Teachers at upper secondary level,616,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
84,Belize,2015,Teachers with minimum required qualifications at upper secondary level,39.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
